,continent,surface_area
0,North America,193.0
1,Asia,652090.0
2,Africa,1246700.0
3,North America,96.0
4,Europe,28748.0
5,Europe,468.0
6,North America,800.0
7,Asia,83600.0
8,South America,2780400.0
9,Asia,29800.0
10,Oceania,199.0
11,Antarctica,13120000.0
12,Antarctica,7780.0
13,North America,442.0
14,Oceania,7741220.0
15,Europe,83859.0
16,Asia,86600.0
17,Africa,27834.0
18,Europe,30518.0
19,Africa,112622.0
20,Africa,274000.0
21,Asia,143998.0
22,Europe,110994.0
23,Asia,694.0
24,North America,13878.0
25,Europe,51197.0
26,Europe,207600.0
27,North America,22696.0
28,North America,53.0
29,South America,1098581.0
30,South America,8547403.0
31,North America,430.0
32,Asia,5765.0
33,Asia,47000.0
34,Antarctica,59.0
35,Africa,581730.0
36,Africa,622984.0
37,North America,9970610.0
38,Oceania,14.0
39,Europe,41284.0
40,South America,756626.0
41,Asia,9572900.0
42,Africa,322463.0
43,Africa,475442.0
44,Africa,2344858.0
45,Africa,342000.0
46,Oceania,236.0
47,South America,1138914.0
48,Africa,1862.0
49,Africa,4033.0
50,North America,51100.0
51,North America,110861.0
52,Oceania,135.0
53,North America,264.0
54,Asia,9251.0
55,Europe,78866.0
56,Europe,357022.0
57,Africa,23200.0
58,North America,751.0
59,Europe,43094.0
60,North America,48511.0
61,Africa,2381741.0
62,South America,283561.0
63,Africa,1001449.0
64,Africa,117600.0
65,Africa,266000.0
66,Europe,505992.0
67,Europe,45227.0
68,Africa,1104300.0
69,Europe,338145.0
70,Oceania,18274.0
71,South America,12173.0
72,Europe,551500.0
73,Europe,1399.0
74,Oceania,702.0
75,Africa,267668.0
76,Europe,242900.0
77,Asia,69700.0
78,Africa,238533.0
79,Europe,6.0
80,Africa,245857.0
81,North America,1705.0
82,Africa,11295.0
83,Africa,36125.0
84,Africa,28051.0
85,Europe,131626.0
86,North America,344.0
87,North America,2166090.0
88,North America,108889.0
89,South America,90000.0
90,Oceania,549.0
91,South America,214969.0
92,Asia,1075.0
93,Antarctica,359.0
94,North America,112088.0
95,Europe,56538.0
96,North America,27750.0
97,Europe,93030.0
98,Asia,1904569.0
99,Asia,3287263.0
100,Africa,78.0
101,Europe,70273.0
102,Asia,1648195.0
103,Asia,438317.0
104,Europe,103000.0
105,Asia,21056.0
106,Europe,301316.0
107,North America,10990.0
108,Asia,88946.0
109,Asia,377829.0
110,Asia,2724900.0
111,Africa,580367.0
112,Asia,199900.0
113,Asia,181035.0
114,Oceania,726.0
115,North America,261.0
116,Asia,99434.0
117,Asia,17818.0
118,Asia,236800.0
119,Asia,10400.0
120,Africa,111369.0
121,Africa,1759540.0
122,North America,622.0
123,Europe,160.0
124,Asia,65610.0
125,Africa,30355.0
126,Europe,65301.0
127,Europe,2586.0
128,Europe,64589.0
129,Asia,18.0
130,Africa,446550.0
131,Europe,1.5
132,Europe,33851.0
133,Africa,587041.0
134,Asia,298.0
135,North America,1958201.0
136,Oceania,181.0
137,Europe,25713.0
138,Africa,1240192.0
139,Europe,316.0
140,Asia,676578.0
141,Asia,1566500.0
142,Oceania,464.0
143,Africa,801590.0
144,Africa,1025520.0
145,North America,102.0
146,North America,1102.0
147,Africa,2040.0
148,Africa,118484.0
149,Asia,329758.0
150,Africa,373.0
151,Africa,824292.0
152,Oceania,18575.0
153,Africa,1267000.0
154,Oceania,36.0
155,Africa,923768.0
156,North America,130000.0
157,Oceania,260.0
158,Europe,41526.0
159,Europe,323877.0
160,Asia,147181.0
161,Oceania,21.0
162,Oceania,270534.0
163,Asia,309500.0
164,Asia,796095.0
165,North America,75517.0
166,Oceania,49.0
167,South America,1285216.0
168,Asia,300000.0
169,Oceania,459.0
170,Oceania,462840.0
171,Europe,323250.0
172,North America,8875.0
173,Asia,120538.0
174,Europe,91982.0
175,South America,406752.0
176,Asia,6257.0
177,Oceania,4000.0
178,Asia,11000.0
179,Africa,2510.0
180,Europe,238391.0
181,Europe,17075400.0
182,Africa,26338.0
183,Asia,2149690.0
184,Africa,2505813.0
185,Africa,196722.0
186,Asia,618.0
187,Antarctica,3903.0
188,Africa,314.0
189,Europe,62422.0
190,Oceania,28896.0
191,Africa,71740.0
192,North America,21041.0
193,Europe,61.0
194,Africa,637657.0
195,North America,242.0
196,Africa,964.0
197,South America,163265.0
198,Europe,49012.0
199,Europe,20256.0
200,Europe,449964.0
201,Africa,17364.0
202,Africa,455.0
203,Asia,185180.0
204,North America,430.0
205,Africa,1284000.0
206,Africa,56785.0
207,Asia,513115.0
208,Asia,143100.0
209,Oceania,12.0
210,Asia,488100.0
211,Asia,14874.0
212,Oceania,650.0
213,North America,5130.0
214,Africa,163610.0
215,Asia,774815.0
216,Oceania,26.0
217,Asia,36188.0
218,Africa,883749.0
219,Africa,241038.0
220,Europe,603700.0
221,Oceania,16.0
222,South America,175016.0
223,North America,9363520.0
224,Asia,447400.0
225,Europe,0.4
226,North America,388.0
227,South America,912050.0
228,North America,151.0
229,North America,347.0
230,Asia,331689.0
231,Oceania,12189.0
232,Oceania,200.0
233,Oceania,2831.0
234,Asia,527968.0
235,Europe,102173.0
236,Africa,1221037.0
237,Africa,752618.0
238,Africa,390757.0
