continent,surface_area
Asia,652090.0
Asia,83600.0
Asia,29800.0
Asia,86600.0
Asia,143998.0
Asia,694.0
Asia,5765.0
Asia,47000.0
Asia,9572900.0
Asia,9251.0
Asia,69700.0
Asia,1075.0
Asia,1904569.0
Asia,3287263.0
Asia,1648195.0
Asia,438317.0
Asia,21056.0
Asia,88946.0
Asia,377829.0
Asia,2724900.0
Asia,199900.0
Asia,181035.0
Asia,99434.0
Asia,17818.0
Asia,236800.0
Asia,10400.0
Asia,65610.0
Asia,18.0
Asia,298.0
Asia,676578.0
Asia,1566500.0
Asia,329758.0
Asia,147181.0
Asia,309500.0
Asia,796095.0
Asia,300000.0
Asia,120538.0
Asia,6257.0
Asia,11000.0
Asia,2149690.0
Asia,618.0
Asia,185180.0
Asia,513115.0
Asia,143100.0
Asia,488100.0
Asia,14874.0
Asia,774815.0
Asia,36188.0
Asia,447400.0
Asia,331689.0
Asia,527968.0
Europe,28748.0
Europe,468.0
Europe,83859.0
Europe,30518.0
Europe,110994.0
Europe,51197.0
Europe,207600.0
Europe,41284.0
Europe,78866.0
Europe,357022.0
Europe,43094.0
Europe,505992.0
Europe,45227.0
Europe,338145.0
Europe,551500.0
Europe,1399.0
Europe,242900.0
Europe,6.0
Europe,131626.0
Europe,56538.0
Europe,93030.0
Europe,70273.0
Europe,103000.0
Europe,301316.0
Europe,160.0
Europe,65301.0
Europe,2586.0
Europe,64589.0
Europe,1.5
Europe,33851.0
Europe,25713.0
Europe,316.0
Europe,41526.0
Europe,323877.0
Europe,323250.0
Europe,91982.0
Europe,238391.0
Europe,17075400.0
Europe,62422.0
Europe,61.0
Europe,49012.0
Europe,20256.0
Europe,449964.0
Europe,603700.0
Europe,0.4
Europe,102173.0
